LOCATION;Country;Value-benefits;Value-unemployment
AUS;Australia;57.8;6.004402
AUT;Austria;72.4;5.952419
BEL;Belgium;53.6;8.66423
CAN;Canada;60.9;7.2
CZE;Czech Republic;56.2;4.616716
DNK;Denmark;64.5;6.16027
FIN;Finland;78.5;9.700446
FRA;France;55.4;10.32069
DEU;Germany;60.0;4.679667
GRC;Greece;20.3;24.3469
HUN;Hungary;21.8;6.382994
ISL;Iceland;64.2;3.689522
IRL;Ireland;79.5;9.642646
ITA;Italy;0.0;11.74646
JPN;Japan;74.7;3.466667
KOR;Korea;43.0;3.647867
LUX;Luxembourg;71.3;6.259503
NLD;Netherlands;72.2;6.875614
NZL;New Zealand;58.7;5.179537
NOR;Norway;69.3;4.678634
POL;Poland;74.8;7.104367
PRT;Portugal;43.5;12.54462
SVK;Slovak Republic;37.0;11.01714
ESP;Spain;30.4;21.09774
SWE;Sweden;62.9;7.29979
CHE;Switzerland;85.2;5.251924
TUR;Turkey;0.0;10.49599
GBR;United Kingdom;70.5;5.112314
USA;United States;33.1;5.138517
CHL;Chile;6.9;6.529648
EST;Estonia;65.7;6.438159
ISR;Israel;46.1;5.305655
SVN;Slovenia;69.7;8.512361
LVA;Latvia;55.9;9.964051
LTU;Lithuania;38.8;9.181319
